phylum	colors
p__Pseudomonadota	#5B0A76
p__Bacillota	#63098B
p__Actinomycetota	#7C07CA
p__Bacillota_A	#8207DF
p__Campylobacterota	#7807EE
p__Bacteroidota	#6E07EE
p__Spirochaetota	#5807EF
p__Verrucomicrobiota	#4907EF
p__Chlamydiota	#3607EF
p__Bacillota_C	#2208EE
p__Cyanobacteriota	#1208EC
p__Fusobacteriota	#0B08E9
p__Acidobacteriota	#0808E4
p__Deinococcota	#0808DD
p__Desulfobacterota	#0808D4
p__Desulfobacterota_F	#0808CF
p__Patescibacteria	#0808C9
p__Chloroflexota	#0808BF
p__Nitrospirota_A	#0808B9
p__Nitrospirota	#0808B3
p__Myxococcota	#0808AD
p__Bacillota_F	#080899
p__Cloacimonadota	#080B93
p__Bacillota_G	#08108B
p__Planctomycetota	#082672
p__Marinisomatota	#08366A
p__Firestonebacteria	#084668
p__Elusimicrobiota	#084E68
p__Gemmatimonadota	#08566A
p__Synergistota	#085D6B
p__Bacillota_B	#08626D
p__SAR324	#086470
p__Thermotogota	#086372
p__Armatimonadota	#086275
p__Nitrospinota	#08617A
p__Eremiobacterota	#086282
p__Bdellovibrionota	#08658B
p__OLB16	#086893
p__CG2-30-70-394	#086C98
p__Edwardsbacteria	#08769D
p__Krumholzibacteriota	#08809F
p__UBA8248	#088CA2
p__Omnitrophota	#0896A5
p__Latescibacterota	#08A1A7
p__Dormibacterota	#08ACAC
p__Caldisericota	#08B1B1
p__Fibrobacterota	#08C0C0
p__Fermentibacterota	#08C5C5
p__Delongbacteria	#08C8C8
p__Bacillota_E	#08CCCC
p__Bacillota_D	#08D1D1
p__Aquificota	#08D5D5
p__Methylomirabilota	#08D8D8
p__Margulisbacteria	#08DBDB
p__WOR-3	#08DEDE
p__Desulfobacterota_D	#08E3E3
p__UBA10199	#08E6E6
p__Zixibacteria	#08E9E9
p__Atribacterota	#08EBEB
p__Poribacteria	#08EDEC
p__Bipolaricaulota	#08EEDF
p__Coprothermobacterota	#08EDD8
p__Desulfobacterota_B	#08EBD1
p__Deferribacterota	#08EACA
p__JdFR-76	#08E7B2
p__KSB1	#08E6A2
p__SZUA-79	#08E593
p__CG2-30-53-67	#08E385
p__Dependentiae	#08E074
p__Desulfobacterota_E	#08DB72
p__Desulfobacterota_G	#08D873
p__CSP1-3	#08D176
p__Hydrogenedentota	#08C775
p__JAAXHH01	#08C173
p__CAIJMQ01	#08BC70
p__Desantisbacteria	#08B86B
p__UBA9089	#08B563
p__UBP6	#08B25B
p__Riflebacteria	#08AF54
p__Dictyoglomota	#08A950
p__DTU030	#08A450
p__UBP7	#089F50
p__CG03	#088F4F
p__JAMCPX01	#088A4F
p__Schekmanbacteria	#08844B
p__Calditrichota	#088C38
p__Bacillota_H	#088B25
p__Ratteibacteria	#098A18
p__JADFOP01	#259208
p__UBA6262	#39A608
p__AABM5-125-24	#3CAC08
p__RBG-13-66-14	#41B108
p__JABDJQ01	#4BBB08
p__BMS3Abin14	#55C408
p__Myxococcota_A	#5FC908
p__Sumerlaeota	#67CC08
p__TA06	#76D108
p__FEN-1099	#7ED308
p__UBP18	#86D608
p__Calescibacterota	#97DB08
p__Eisenbacteria	#A9E108
p__4484-113	#BBE508
p__UBA1439	#C3E608
p__UBA3054	#CDE608
p__FCPU426	#DFE508
p__UBP13	#E2E308
p__Lindowbacteria	#E1E008
p__Thermodesulfobiota	#E0DD08
p__DUMJ01	#E0D908
p__JACPWU01	#E0B408
p__Auribacterota	#E0AE08
p__Aerophobota	#E0A608
p__Wallbacteria	#E09F08
p__CLD3	#E09708
p__NPL-UPA2	#E08F08
p__UBP4	#E07F08
p__HKB111	#E06708
p__Goldbacteria	#E05F08
p__UBA8481	#E05908
p__UBP15	#E05408
p__Muirbacteria	#DF4608
p__Thermosulfidibacterota	#DF3F08
p__UBA6266	#DF3708
p__RUG730	#DE2E08
